STUDENT_ID,FALL_COHORT,COHORT_TYPE,GENDER,N__IPEDS_ETHNICITY,ENROLLMENT_STATUS,EXCLUSION_ELIGIBLE,ENROLLED_FALL_2020
ID000506,2019,N/A,F,WHITE,F,N,Y
ID000507,2019,N/A,M,WHITE,F,N,Y
ID000508,2019,N/A,M,WHITE,F,N,Y
ID000509,2019,N/A,M,HISPA,P,N,Y
ID000510,2019,FTF,F,TWOMORE,F,N,Y
ID000511,2019,N/A,F,WHITE,F,N,Y
ID000512,2019,N/A,M,WHITE,F,N,Y
ID000513,2019,FTF,M,WHITE,F,N,Y
ID000514,2019,N/A,M,TWOMORE,F,N,Y
ID000515,2019,N/A,F,AMIND,F,N,Y
ID000516,2019,FTF,F,HISPA,F,N,Y
ID000517,2019,FTF,F,WHITE,F,N,Y
ID000518,2019,UD,F,HISPA,F,N,Y
ID000519,2019,FTF,F,ASIAN,F,N,Y
ID000520,2019,N/A,F,ASIAN,F,N,Y
